Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Checklist,,,2019-01-22 15:05:41,2019-01-22 15:06:11,29.388s,PASSED
,,,,,,
Test Cases/Checklist/TC1_Checklist_GetChecklist,,,2019-01-22 15:05:42,2019-01-22 15:05:51,9.312s,PASSED
"getTokenTestObject = findTestObject(""Helpers/Login/Helper_MO_Login"")",,,2019-01-22 15:05:43,2019-01-22 15:05:43,0.200s,PASSED
responseTokenObject = sendRequest(getTokenTestObject),,,2019-01-22 15:05:43,2019-01-22 15:05:48,4.793s,PASSED
tokenObject = JsonSlurper().parseText(responseTokenObject.getResponseText()),,,2019-01-22 15:05:48,2019-01-22 15:05:48,0.052s,PASSED
token = bearer_token,,,2019-01-22 15:05:48,2019-01-22 15:05:48,0.013s,PASSED
"getUserInfoTestObject = findTestObject(""Helpers/Checklist/Get_Checklist"")",,,2019-01-22 15:05:48,2019-01-22 15:05:48,0.059s,PASSED
"getHttpHeaderProperties().add(new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + token)))",,,2019-01-22 15:05:48,2019-01-22 15:05:48,0.031s,PASSED
sendRequestAndVerify(getUserInfoTestObject),,,2019-01-22 15:05:48,2019-01-22 15:05:49,1.169s,PASSED
,,,,,,
Test Cases/Checklist/TC2_Checklist_MarkArchived,,,2019-01-22 15:05:51,2019-01-22 15:05:55,3.770s,PASSED
"getTokenTestObject = findTestObject(""Helpers/Login/Helper_MO_Login"")",,,2019-01-22 15:05:51,2019-01-22 15:05:51,0.072s,PASSED
responseTokenObject = sendRequest(getTokenTestObject),,,2019-01-22 15:05:51,2019-01-22 15:05:52,0.802s,PASSED
tokenObject = JsonSlurper().parseText(responseTokenObject.getResponseText()),,,2019-01-22 15:05:52,2019-01-22 15:05:52,0.003s,PASSED
token = bearer_token,,,2019-01-22 15:05:52,2019-01-22 15:05:52,0.004s,PASSED
"getUserInfoTestObject = findTestObject(""Helpers/Checklist/Put_Checklist_MarkArchived"")",,,2019-01-22 15:05:52,2019-01-22 15:05:52,0.047s,PASSED
"getHttpHeaderProperties().add(new com.kms.katalon.core.testobject.TestObjectProperty(Authorization, com.kms.katalon.core.testobject.ConditionType.EQUALS, (Bearer  + token)))",,,2019-01-22 15:05:52,2019-01-22 15:05:52,0.004s,PASSED
sendRequestAndVerify(getUserInfoTestObject),,,2019-01-22 15:05:52,2019-01-22 15:05:53,0.566s,PASSED
,,,,,,
Test Cases/Checklist/TC3_Checklist_MarkDone,,,2019-01-22 15:05:55,2019-01-22 15:05:59,3.765s,PASSED
"getTokenTestObject = findTestObject(""Helpers/Login/Helper_MO_Login"")",,,2019-01-22 15:05:55,2019-01-22 15:05:55,0.054s,PASSED
