Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginSuite,,,2019-01-22 16:25:11,2019-01-22 16:25:32,20.612s,PASSED
,,,,,,
Test Cases/Login/TC1_MCO_Login,,,2019-01-22 16:25:12,2019-01-22 16:25:21,9.064s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MCO_Login"", [""G_Login_Username"":G_Login_Username_MCO, ""G_Login_Password"":G_Login_Password_MCO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-22 16:25:13,2019-01-22 16:25:19,6.030s,PASSED
,,,,,,
Test Cases/Login/TC2_MO_LOGIN,,,2019-01-22 16:25:21,2019-01-22 16:25:24,3.772s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-22 16:25:21,2019-01-22 16:25:22,1.502s,PASSED
,,,,,,
Test Cases/Login/TC3_MO_LOGIN_IncorrectPassword,,,2019-01-22 16:25:24,2019-01-22 16:25:28,3.642s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectPassword"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-22 16:25:25,2019-01-22 16:25:26,1.437s,PASSED
,,,,,,
Test Cases/Login/TC4_MO_LOGIN_IncorrectUsername,,,2019-01-22 16:25:28,2019-01-22 16:25:32,3.756s,PASSED
"sendRequestAndVerify(findTestObject(""Helpers/Login/Helper_MO_Login_IncorrectUsername"", [""G_Login_Username"":G_Login_Username_MO, ""G_Login_Password"":G_Login_Password_MO, ""G_API_URL_LOGIN"":G_API_URL_LOGIN]))",,,2019-01-22 16:25:28,2019-01-22 16:25:30,1.526s,PASSED
